Podgorica;19.26;42.44;Clouds;broken clouds;stations;6.82;2.88;4.44;10;1023;34;10000;ME;1582263135;1582302084
Port-au-Prince;-72.33;18.54;Rain;light rain;stations;29;28.31;29;29;1015;66;9000;HT;1582283645;1582325533
Porto-Novo;2.6;6.5;Clouds;few clouds;stations;30;34.15;30;30;1006;84;9000;BJ;1582265101;1582308114
Prague;14.42;50.09;Clouds;broken clouds;stations;2.81;-2.71;1.67;4.44;1027;69;10000;CZ;1582265001;1582302541
Praia;-23.51;14.92;Clouds;broken clouds;stations;24;17.98;24;24;1012;60;8000;CV;1582271758;1582313989
Pretoria;28.19;-25.74;Clouds;broken clouds;stations;20.14;21.92;18.89;21.67;1021;88;NULL;ZA;1582257376;1582303557
Pyongyang;125.75;39.03;Rain;light rain;stations;1.29;-2.67;1.29;1.29;1020;96;NULL;KP;1582323661;1582363234
Quito;-78.52;-0.23;Rain;moderate rain;stations;19.34;15.27;19;20;1025;72;8000;EC;1582284262;1582327888
Rabat;-6.84;33.99;Clear;clear sky;stations;18.09;16.57;17.22;19;1020;68;8000;MA;1582268791;1582308955
Ramallah;35.18;31.89;Clouds;scattered clouds;stations;13.66;11.29;8.89;16;1015;67;10000;PS;1582258583;1582298995
Reykjavík;-21.9;64.14;Clouds;overcast clouds;stations;0.84;-7.54;-0.56;2;963;80;10000;IS;1582275909;1582309066
Riga;24.08;57;Clouds;few clouds;stations;1.97;-2.04;1.67;2.22;1012;93;10000;LV;1582263555;1582299351
Riyadh;46.72;24.69;Clear;clear sky;stations;19;16.21;19;19;1020;37;10000;SA;1582255403;1582296636
Rome;-85.16;34.26;Clear;clear sky;stations;5.57;0.61;3.33;7.22;1034;52;16093;US;1582287590;1582327747
Roseau;-61.39;15.3;Clouds;few clouds;stations;28.07;29.34;27;29;1013;54;10000;DM;1582280864;1582323064
Saipan;145.7;15.14;Clouds;broken clouds;stations;26.27;24.84;25.56;27;1016;74;16093;MP;1582317542;1582359777
Sana'a;44.2;15.34;Clouds;broken clouds;stations;17.08;12.61;17.08;17.08;1016;28;NULL;YE;1582255533;1582297715
Santiago;-70.65;-33.46;Clear;clear sky;stations;27.75;25.76;25;30.56;1015;37;7000;CL;1582280623;1582327750
Sarajevo;18.36;43.85;Clouds;broken clouds;stations;3.96;0.75;3.89;4;1027;69;10000;BA;1582263467;1582302184
Seoul;126.98;37.57;Rain;light rain;stations;5.21;1.4;4;7;1020;81;10000;KR;1582323265;1582363039
Singapore;103.85;1.29;Clouds;broken clouds;stations;26.35;29.9;25;27;1013;83;10000;SG;1582326957;1582370448
Skopje;21.43;42;Clouds;scattered clouds;stations;5.22;-0.25;5;5.56;1023;48;10000;MK;1582262580;1582301598
Sofia;23.32;42.7;Clouds;broken clouds;stations;3.9;-2.07;2.22;5;1022;60;10000;BG;1582262183;1582301088
Stanley;-1.7;54.87;Clouds;scattered clouds;stations;9.53;0.68;8.33;10.56;1002;87;10000;GB;1582269432;1582305847
Stepanakert;46.75;39.82;Clear;clear sky;stations;8.21;6.19;8.21;8.21;1020;76;NULL;AZ;1582256341;1582295683
Stockholm;18.06;59.33;Clouds;scattered clouds;stations;5.77;0.26;5;6.67;1002;68;10000;SE;1582265369;1582300425
Sucre;-65.26;-19.03;Rain;shower rain;stations;14;9.28;14;14;1032;82;8000;BO;1582280182;1582325603
Taipei;121.53;25.05;Mist;mist;stations;16.47;17.51;15.56;17;1026;93;4500;TW;1582323830;1582365090
Tallinn;24.75;59.44;Clouds;broken clouds;stations;3.24;-3.09;2.22;4.44;1005;93;10000;EE;1582263786;1582298798
